kbli_kode,provinsi,total_investasi_rp_juta,total_investasi_us_ribu,total_tki,row_count,percentage_share
7,Kepulauan Bangka Belitung,682767.4526,41379.845614458,167,8,0.13340918237579408
11,Jawa Barat,678598.293098,41127.169279031,1059,37,0.13259455045648094
33,Kalimantan Timur,670295.363089,40623.961404268004,190,13,0.13097220144203098
17,Banten,661550.035397,40093.941538449,625,14,0.12926341023859084
28,Jawa Barat,652419.97039,39540.604270284,2408,43,0.12747944337991385
73,Daerah Khusus Ibukota Jakarta,649995.3371990001,39393.656795853996,986,40,0.12700568276004137
46,Bali,648522.841806,39304.414655446,2664,121,0.1267179648764718
16,Kalimantan Utara,648248.7998,39287.80605,19,1,0.12666441850454405
23,Maluku Utara,645520.2996,39122.442400182,2140,4,0.12613128386344769
46,Sumatera Utara,639149.666905,38736.343442266996,2271,52,0.1248864956184603
21,Jawa Barat,638001.168546,38666.73748556,2233,33,0.12466208505751358
68,Riau,633076.592356,38368.278327043,69,15,0.12369984867592657
93,Daerah Khusus Ibukota Jakarta,627551.2629409999,38033.40988018201,667,33,0.12262022826226293
7,Sulawesi Tengah,620756.37532,37621.598496548,138,12,0.12129254282793088
24,Jawa Barat,616534.825678,37365.747007347,889,29,0.1204676741497984
10,Banten,614780.899141,37259.448428154,1150,29,0.12012496609545673
30,Daerah Khusus Ibukota Jakarta,595772.199383,36107.406030821,239,10,0.11641076577280687
25,Banten,591927.614502,35874.400884648,1625,27,0.11565955403358967
85,Jawa Timur,585213.471959,35467.483154182,117,21,0.11434764576437559
28,Daerah Khusus Ibukota Jakarta,574536.763343,34820.409904807,470,13,0.11226147284927673
24,Nusa Tenggara Barat,570365.140059,34567.5842436,19,2,0.11144635951987159
9,Sulawesi Tengah,570197.311208,34557.412800576,815,8,0.1114135666418489
10,Kalimantan Tengah,568762.17031,34470.434561884,796,24,0.11113314763085595
47,Jawa Timur,567095.684273,34369.435407692,5736,52,0.11080752499200547
46,Sulawesi Tengah,566740.680215,34347.920008213005,698,21,0.11073815905937713
64,Jawa Timur,565299.871025,34260.598243077,1419,53,0.1104566324938306
47,Jawa Barat,558692.287479,33860.138629411,5014,57,0.10916554529423611
47,Jawa Tengah,554136.977913,33584.05926634361,3104,42,0.10827546167593463
32,Jawa Tengah,549120.072645,33280.004408386,6012,57,0.10729518467633252
46,Kalimantan Timur,547119.705025,33158.770000812,1057,32,0.10690432332578195
77,Sulawesi Tengah,543922.83393,32965.020242,68,6,0.10627967146617635
46,Kalimantan Barat,542639.19331,32887.223834365,429,23,0.10602885481560752
27,Kepulauan Riau,530782.54159,32168.638876735,3460,13,0.10371212720116682
55,Nusa Tenggara Timur,521440.106431,31602.430691599002,644,35,0.10188666432765862
85,Daerah Khusus Ibukota Jakarta,515893.61574700003,31266.279740514,713,35,0.10080290911292243
45,Banten,507489.130764,30756.917012445,1059,27,0.09916071678872482
7,Jawa Timur,504811.9924,30594.66621,27,1,0.09863761798123473
42,Papua Barat Daya,502209.55,30436.942426399997,2,2,0.0981291143736858
1,Jambi,500067.662112,30307.131037002,717,15,0.09771060070436755
21,Jawa Tengah,494326.33506899996,29959.171825779,619,20,0.09658877548607114
64,Bali,487862.249978,29567.409095994997,320,20,0.09532572713261796
16,Sumatera Selatan,484923.500332,29389.303051727,5,5,0.09475151085152977
20,Kepulauan Riau,481315.704822,29170.648774915,954,7,0.0940465665145739
47,Banten,476269.759583,28864.833917547,1295,24,0.09306061525681468
1,Sumatera Barat,473811.41725699994,28715.843466767998,342,17,0.09258026804860701
52,Sulawesi Tenggara,464928.96253200003,28177.512880128997,28,10,0.09084468294149664
21,Banten,464194.545705,28133.002776702997,542,15,0.09070118174201797
35,Kalimantan Selatan,462767.77564,28046.531854317,13,10,0.09042239834792812
61,Jawa Timur,462196.00765399996,28011.87925071,28,50,0.09031067787966261
61,Jawa Tengah,458352.04546299996,27778.911848039003,20,46,0.08955958781080836
27,Maluku Utara,458350.9525,27778.845601515,66,2,0.08955937425156554
64,Jawa Barat,455854.226825,27627.528897948,1021,48,0.08907152713810108
19,Jawa Timur,448767.343168,27198.020801421,48,18,0.08768678720846262
24,Daerah Khusus Ibukota Jakarta,448531.340402,27183.71760455,179,7,0.0876406735046963
29,Daerah Khusus Ibukota Jakarta,443298.279609,26866.562399219998,143,9,0.08661816084821507
59,Daerah Khusus Ibukota Jakarta,440956.631666,26724.644341289997,300,20,0.08616061511093955
25,Daerah Khusus Ibukota Jakarta,432919.52903499996,26237.547216856998,375,13,0.08459020737315269
29,Jawa Timur,431930.331712,26177.595863841,1503,14,0.08439692339986545
71,Daerah Khusus Ibukota Jakarta,430798.431811,26108.995866802,1797,35,0.08417575609063208
52,Kalimantan Timur,425282.768116,25774.713218434,337,19,0.0830980243080058
24,Kalimantan Selatan,424128.8481,25704.77867515,10,2,0.08287255438369204
